                              | PREDICT__________________________________________| 
12/14/2025 23:31:31    131    | -17660.44922    0.009770743549  0.02621975727    | -17660.43945    
12/14/2025 23:31:31    132    | -17660.53711    0.01758096926   0.02472448535    | -17660.51953    
12/14/2025 23:31:32    133    | -17660.49023    0.009770743549  0.02976788022    | -17660.48047    
12/14/2025 23:31:32    134    | -17660.26758    0.01172301546   0.02999833599    | -17660.25586    
12/14/2025 23:31:32    135    | -17660.29297    0.01953380927   0.02936210297    | -17660.3125     
12/14/2025 23:31:32    136    | -17660.5293     0.02539259382   0.02682024799    | -17660.50391    
12/14/2025 23:31:32    137    | -17660.29688    0.007818897255  0.0306704361     | -17660.28906    
12/14/2025 23:31:32    138    | -17660.49414    0.003919029143  0.02679813839    | -17660.49023    
12/14/2025 23:31:32    139    | -17660.20117    0.01562820002   0.03238013387    | -17660.2168     
12/14/2025 23:31:32    140    | -17660.40234    0.009770743549  0.02630755119    | -17660.41211    
12/14/2025 23:31:32    141    | -17660.30469    0.005867902189  0.03258754686    | -17660.31055    
12/14/2025 23:31:32    142    | -17660.34766    0.01367553137   0.03297145292    | -17660.36133    
12/14/2025 23:31:32    143    | -17660.47656    0.0003162277571 0.02940760925    | -17660.47656    
12/14/2025 23:31:32    144    | -17660.31641    0.003919029143  0.04421098903    | -17660.3125     
12/14/2025 23:31:32    145    | -17660.27148    0.007818897255  0.02955355123    | -17660.26367    
12/14/2025 23:31:32    146    | -17660.66406    0.00197855942   0.03044481203    | -17660.66602    
12/14/2025 23:31:32    147    | -17660.5        0.0003162277571 0.02788029425    | -17660.5        
12/14/2025 23:31:32    148    | -17660.26953    0.01172301546   0.03285188973    | -17660.28125    
12/14/2025 23:31:32    149    | -17660.4707     0.01367553137   0.04301156104    | -17660.48438    
12/14/2025 23:31:32    150    | -17660.33008    0.01953380927   0.0286655426     | -17660.34961    
12/14/2025 23:31:32    151    | -17660.4043     0.009770743549  0.02374711074    | -17660.39453    
12/14/2025 23:31:32    152    | -17660.34375    0.007818897255  0.02986359783    | -17660.33594    
12/14/2025 23:31:32    153    | -17660.34766    0.007818897255  0.02753352933    | -17660.35547    
12/14/2025 23:31:32    154    | -17660.43945    0.01562820002   0.04432401061    | -17660.45508    
12/14/2025 23:31:32    155    | -17660.56055    0.01562820002   0.03173100576    | -17660.57617    
12/14/2025 23:31:32    156    | -17660.50586    0.02343963273   0.0320353508     | -17660.5293     
12/14/2025 23:31:32    157    | -17660.36523    0.005867902189  0.02325946838    | -17660.37109    
12/14/2025 23:31:32    158    | -17660.43359    0.009770743549  0.02501445077    | -17660.42383    
12/14/2025 23:31:32    159    | -17660.2793     0.01172301546   0.03461024538    | -17660.29102    
12/14/2025 23:31:32    160    | -17660.48242    0.00197855942   0.02470438741    | -17660.48047    
12/14/2025 23:31:32    161    | -17660.2832     0.01172301546   0.03222784027    | -17660.29492    
12/14/2025 23:31:32    162    | -17660.35547    0.00197855942   0.04213945195    | -17660.35742    
12/14/2025 23:31:32    163    | -17660.48242    0.01172301546   0.03372674435    | -17660.49414    
12/14/2025 23:31:32    164    | -17660.40625    0.003919029143  0.03649317101    | -17660.41016    
12/14/2025 23:31:32    165    | -17660.46875    0.005867902189  0.03897197545    | -17660.47461    
12/14/2025 23:31:33    166    | -17660.70508    0.00197855942   0.02843057737    | -17660.70703    
12/14/2025 23:31:33    167    | -17660.44141    0.00197855942   0.03081842139    | -17660.43945    
12/14/2025 23:31:33    168    | -17660.64453    0.01758096926   0.02853327617    | -17660.66211    
12/14/2025 23:31:33    169    | -17660.58398    0.00197855942   0.02762262523    | -17660.58594    
12/14/2025 23:31:33    170    | -17660.30469    0.01758096926   0.03875706717    | -17660.28711    
12/14/2025 23:31:33    171    | -17660.19336    0.01953380927   0.03091118485    | -17660.17383    
12/14/2025 23:31:33    172    | -17660.31445    0.005867902189  0.03053722903    | -17660.32031    
12/14/2025 23:31:33    173    | -17660.29102    0.01758096926   0.03501142189    | -17660.30859    
12/14/2025 23:31:33    174    | -17660.24609    0.009770743549  0.02879556641    | -17660.23633    
12/14/2025 23:31:33    175    | -17660.46484    0.007818897255  0.03003612906    | -17660.47266    
12/14/2025 23:31:33    176    | -17660.16992    0.00197855942   0.03089868277    | -17660.16797    
12/14/2025 23:31:33    177    | -17660.54102    0.003919029143  0.03315771371    | -17660.54492    
12/14/2025 23:31:33    178    | -17660.46094    0.01562820002   0.03185956553    | -17660.47656    
12/14/2025 23:31:33    179    | -17660.25195    0.02539259382   0.03864602       | -17660.27734    
12/14/2025 23:31:33    180    | -17660.3125     0.0003162277571 0.03757548332    | -17660.3125     
12/14/2025 23:31:33    181    | -17660.26758    0.02734557912   0.04127969593    | -17660.29492    
12/14/2025 23:31:33    182    | -17660.55859    0.01367553137   0.02997847646    | -17660.57227    
12/14/2025 23:31:33    183    | -17660.5        0.005867902189  0.02919471636    | -17660.50586    
12/14/2025 23:31:33    184    | -17660.33789    0.009770743549  0.03500270098    | -17660.34766    
12/14/2025 23:31:33    185    | -17660.37109    0.0003162277571 0.03617799282    | -17660.37109    
12/14/2025 23:31:33    186    | -17660.45117    0.007818897255  0.03533768281    | -17660.45898    
12/14/2025 23:31:33    187    | -17660.30078    0.03320463002   0.03532644361    | -17660.33398    
12/14/2025 23:31:33    188    | -17660.28711    0.00197855942   0.05379930884    | -17660.28516    
12/14/2025 23:31:33    189    | -17660.55078    0.02539259382   0.02777921595    | -17660.57617    
12/14/2025 23:31:33    190    | -17660.43555    0.03125159815   0.04141343758    | -17660.4668     
12/14/2025 23:31:33    191    | -17660.16016    0.003919029143  0.04795327783    | -17660.15625    
12/14/2025 23:31:33    192    | -17660.38281    0.03320463002   0.04780222103    | -17660.41602    
12/14/2025 23:31:33    193    | -17660.45117    0.0003162277571 0.03754781559    | -17660.45117    
12/14/2025 23:31:33    194    | -17660.46094    0.007818897255  0.03182293847    | -17660.46875    
12/14/2025 23:31:33    195    | -17660.6582     0.00197855942   0.02532478236    | -17660.66016    
12/14/2025 23:31:33    196    | -17660.27344    0.01562820002   0.03284794837    | -17660.25781    
12/14/2025 23:31:33    197    | -17660.59766    0.01172301546   0.03869459033    | -17660.60938    
12/14/2025 23:31:34    198    | -17660.32617    0.009770743549  0.03072470427    | -17660.33594    
12/14/2025 23:31:34    199    | -17660.26562    0.007818897255  0.03264408931    | -17660.27344    
12/14/2025 23:31:34    200    | -17660.3125     0.02343963273   0.03366221115    | -17660.33594    
12/14/2025 23:31:34    201    | -17660.63477    0.009770743549  0.02783371136    | -17660.64453    
12/14/2025 23:31:34    202    | -17660.58789    0.01562820002   0.03286510706    | -17660.60352    
12/14/2025 23:31:34    203    | -17660.55859    0.005867902189  0.04003860056    | -17660.56445    
12/14/2025 23:31:34    204    | -17660.41016    0.00197855942   0.03333330899    | -17660.4082     
12/14/2025 23:31:34    205    | -17660.40625    0.007818897255  0.03076254204    | -17660.41406    
12/14/2025 23:31:34    206    | -17660.42578    0.003919029143  0.02512808517    | -17660.42188    
12/14/2025 23:31:34    207    | -17660.41797    0.007818897255  0.0339217484     | -17660.42578    
12/14/2025 23:31:34    208    | -17660.17773    0.009770743549  0.03787904605    | -17660.16797    
12/14/2025 23:31:34    209    | -17660.45508    0.003919029143  0.03015146591    | -17660.45117    
12/14/2025 23:31:34    210    | -17660.29297    0.00197855942   0.03363795206    | -17660.29492    
12/14/2025 23:31:34    211    | -17660.33008    0.009770743549  0.02952546999    | -17660.32031    
12/14/2025 23:31:34    212    | -17660.11719    0.009770743549  0.06001441181    | -17660.10742    
12/14/2025 23:31:34    213    | -17660.59375    0.005867902189  0.02665756643    | -17660.58789    
12/14/2025 23:31:34    214    | -17660.67773    0.003919029143  0.02877944149    | -17660.67383    
12/14/2025 23:31:34    215    | -17660.20117    0.003919029143  0.03102023713    | -17660.19727    
12/14/2025 23:31:34    216    | -17660.64258    0.007818897255  0.01748376526    | -17660.65039    
12/14/2025 23:31:34    217    | -17660.35352    0.01562820002   0.03406812251    | -17660.33789    
12/14/2025 23:31:34    218    | -17660.13672    0.003919029143  0.02892907895    | -17660.14062    
12/14/2025 23:31:34    219    | -17660.35156    0.01172301546   0.02831109613    | -17660.36328    
12/14/2025 23:31:34    220    | -17660.50391    0.005867902189  0.02481013164    | -17660.50977    
12/14/2025 23:31:34    221    | -17660.59766    0.00197855942   0.03030772135    | -17660.5957     
12/14/2025 23:31:34    222    | -17660.34375    0.01953380927   0.03568733856    | -17660.32422    
12/14/2025 23:31:34    223    | -17660.23633    0.00197855942   0.03292391449    | -17660.23438    
12/14/2025 23:31:34    224    | -17660.4707     0.00197855942   0.03031582944    | -17660.46875    
12/14/2025 23:31:34    225    | -17660.44531    0.009770743549  0.03755791858    | -17660.45508    
12/14/2025 23:31:34    226    | -17660.37305    0.00197855942   0.02935956791    | -17660.375      
12/14/2025 23:31:35    227    | -17660.3125     0.01562820002   0.03169220313    | -17660.32812    
12/14/2025 23:31:35    228    | -17660.17578    0.01172301546   0.0346313864     | -17660.1875     
12/14/2025 23:31:35    229    | -17660.32422    0.01758096926   0.03486466408    | -17660.3418     
12/14/2025 23:31:35    230    | -17660.50781    0.0003162277571 0.02350519411    | -17660.50781    
12/14/2025 23:31:35    231    | -17660.23438    0.009770743549  0.03236888349    | -17660.24414    
12/14/2025 23:31:35    232    | -17660.41602    0.01367553137   0.03103587963    | -17660.40234    
12/14/2025 23:31:35    233    | -17660.58594    0.005867902189  0.02210158668    | -17660.5918     
12/14/2025 23:31:35    234    | -17660.58398    0.01758096926   0.02617584914    | -17660.56641    
12/14/2025 23:31:35    235    | -17660.50195    0.0003162277571 0.02394500747    | -17660.50195    
12/14/2025 23:31:35    236    | -17660.57812    0.003919029143  0.03173266724    | -17660.58203    
12/14/2025 23:31:35    237    | -17660.14258    0.009770743549  0.0374853164     | -17660.15234    
12/14/2025 23:31:35    238    | -17660.06836    0.02539259382   0.04532187432    | -17660.04297    
12/14/2025 23:31:35    239    | -17660.5        0.01367553137   0.0279668346     | -17660.48633    
12/14/2025 23:31:35    240    | -17660.15039    0.01758096926   0.04272058979    | -17660.13281    
12/14/2025 23:31:35    241    | -17660.17969    0.007818897255  0.04064596817    | -17660.17188    
12/14/2025 23:31:35    242    | -17660.3125     0.02539259382   0.03492891416    | -17660.28711    
12/14/2025 23:31:35    243    | -17660.49805    0.003919029143  0.02848008648    | -17660.50195    
12/14/2025 23:31:35    244    | -17660.71484    0.0003162277571 0.03090044484    | -17660.71484    
12/14/2025 23:31:35    245    | -17660.31445    0.01562820002   0.03524440899    | -17660.29883    
12/14/2025 23:31:35    246    | -17660.54102    0.007818897255  0.01978638209    | -17660.5332     
12/14/2025 23:31:35    247    | -17660.47266    0.02343963273   0.03036269359    | -17660.44922    
12/14/2025 23:31:35    248    | -17660.44531    0.005867902189  0.02871732973    | -17660.43945    
12/14/2025 23:31:35    249    | -17660.60352    0.01172301546   0.02055831626    | -17660.5918     
12/14/2025 23:31:35    250    | -17660.49805    0.007818897255  0.02626721375    | -17660.49023    
12/14/2025 23:31:35    251    | -17660.50195    0.003919029143  0.02797108702    | -17660.50586    
12/14/2025 23:31:35    252    | -17660.38281    0.003919029143  0.03175828233    | -17660.37891    
12/14/2025 23:31:35    253    | -17660.25586    0.003919029143  0.02480713092    | -17660.25977    
12/14/2025 23:31:35    254    | -17660.72852    0.007818897255  0.02607297711    | -17660.73633    
12/14/2025 23:31:35    255    | -17660.51172    0.01367553137   0.02506258525    | -17660.49805    
12/14/2025 23:31:35    256    | -17660.45508    0.0003162277571 0.02839916199    | -17660.45508    
12/14/2025 23:31:35    257    | -17660.56445    0.0003162277571 0.02034819685    | -17660.56445    
12/14/2025 23:31:35    258    | -17660.20312    0.003919029143  0.0258681085     | -17660.19922    
12/14/2025 23:31:36    259    | -17660.54688    0.0003162277571 0.02569109388    | -17660.54688    
12/14/2025 23:31:36    260    | -17660.32617    0.003919029143  0.03051277436    | -17660.33008    
12/14/2025 23:31:36    261    | -17660.41797    0.005867902189  0.02549992315    | -17660.41211    
12/14/2025 23:31:36    262    | -17660.59961    0.0003162277571 0.02092005126    | -17660.59961    
12/14/2025 23:31:36    263    | -17660.50977    0.003919029143  0.02679155022    | -17660.51367    
12/14/2025 23:31:36    264    | -17660.60742    0.0003162277571 0.02643950656    | -17660.60742    
12/14/2025 23:31:36    265    | -17660.5        0.005867902189  0.0242526643     | -17660.49414    
12/14/2025 23:31:36    266    | -17660.44336    0.009770743549  0.02285503596    | -17660.43359    
12/14/2025 23:31:36    267    | -17660.44141    0.02148670144   0.02870565467    | -17660.41992    
12/14/2025 23:31:36    268    | -17660.3457     0.02734557912   0.02936770767    | -17660.31836    
12/14/2025 23:31:36    269    | -17660.51172    0.01562820002   0.03131963685    | -17660.49609    
12/14/2025 23:31:36    270    | -17660.33008    0.009770743549  0.02598149143    | -17660.32031    
12/14/2025 23:31:36    271    | -17660.37695    0.01172301546   0.03127569333    | -17660.36523    
12/14/2025 23:31:36    272    | -17660.36914    0.005867902189  0.03377699852    | -17660.36328    
12/14/2025 23:31:36    273    | -17660.39453    0.009770743549  0.03692290187    | -17660.38477    
12/14/2025 23:31:36    274    | -17660.33789    0.01172301546   0.02899082005    | -17660.32617    
12/14/2025 23:31:36    275    | -17660.23828    0.02929858118   0.02979757264    | -17660.20898    
12/14/2025 23:31:36    276    | -17660.38086    0.01758096926   0.03695936874    | -17660.36328    
12/14/2025 23:31:36    277    | -17660.30273    0.02929858118   0.04234245047    | -17660.27344    
12/14/2025 23:31:36    278    | -17660.32031    0.005867902189  0.02828723192    | -17660.31445    
12/14/2025 23:31:36    279    | -17660.21875    0.003919029143  0.03635541722    | -17660.21484    
12/14/2025 23:31:36    280    | -17660.50781    0.01758096926   0.03524427861    | -17660.49023    
12/14/2025 23:31:36    281    | -17660.71484    0.01562820002   0.03128435463    | -17660.69922    
12/14/2025 23:31:36    282    | -17660.18164    0.005867902189  0.03483314812    | -17660.17578    
12/14/2025 23:31:36    283    | -17660.45312    0.01562820002   0.03894161806    | -17660.4375     
12/14/2025 23:31:36    284    | -17660.60742    0.01562820002   0.03018141165    | -17660.5918     
12/14/2025 23:31:36    285    | -17660.42188    0.02539259382   0.0268762242     | -17660.39648    
12/14/2025 23:31:36    286    | -17660.38867    0.007818897255  0.03272974119    | -17660.38086    
12/14/2025 23:31:36    287    | -17660.52539    0.0003162277571 0.02644655295    | -17660.52539    
12/14/2025 23:31:36    288    | -17660.23242    0.005867902189  0.03705037758    | -17660.22656    
12/14/2025 23:31:36    289    | -17660.46875    0.01172301546   0.03334200382    | -17660.45703    
12/14/2025 23:31:37    290    | -17660.44922    0.003919029143  0.03819981962    | -17660.44531    
12/14/2025 23:31:37    291    | -17660.52148    0.007818897255  0.04163204134    | -17660.51367    
12/14/2025 23:31:37    292    | -17660.45312    0.009770743549  0.03056100011    | -17660.44336    
12/14/2025 23:31:37    293    | -17660.55078    0.01367553137   0.03027114645    | -17660.53711    
12/14/2025 23:31:37    294    | -17660.43164    0.009770743549  0.02552856691    | -17660.42188    
12/14/2025 23:31:37    295    | -17660.31445    0.003919029143  0.03111939505    | -17660.31055    
12/14/2025 23:31:37    296    | -17660.36523    0.005867902189  0.01900713332    | -17660.37109    
12/14/2025 23:31:37    297    | -17660.63867    0.00197855942   0.0233500544     | -17660.64062    
12/14/2025 23:31:37    298    | -17660.66797    0.0003162277571 0.02060975507    | -17660.66797    
12/14/2025 23:31:37    299    | -17660.68555    0.0003162277571 0.02812352777    | -17660.68555    
12/14/2025 23:31:37    300    | -17660.33594    0.005867902189  0.02977359667    | -17660.33008    
