                              | PREDICT_________________________________| EXACT_________
01/24/2025 19:09:51    66     | -17659.83    0.004943848  0.01630113    | -17659.76    
01/24/2025 19:09:51    67     | -17659.46    0.01239395   0.03818286    | -17659.34    
01/24/2025 19:09:51    68     | -17658.75    0.0007476807 0.05665332    | -17658.73    
01/24/2025 19:09:51    69     | -17659.22    0.001682281  0.06271803    | -17659.18    
01/24/2025 19:09:51    70     | -17658.61    0.001377106  0.05168926    | -17658.64    
01/24/2025 19:09:51    71     | -17659.66    0.0008583069 0.02217059    | -17659.69    
01/24/2025 19:09:51    72     | -17659.52    6.103516e-05 0.04447612    | -17659.53    
01/24/2025 19:09:51    73     | -17659.73    0.04700089   0.2782481     | -17659.52    
01/24/2025 19:09:51    74     | -17659.38    0.00390625   0.01726478    | -17659.32    
01/24/2025 19:09:51    75     | -17659.74    3.433228e-05 0.01446687    | -17659.73    
01/24/2025 19:09:51    76     | -17659.1     0.0007476807 0.03883658    | -17659.07    
01/24/2025 19:09:51    77     | -17659.52    0.00440979   0.01937515    | -17659.45    
01/24/2025 19:09:51    78     | -17658.64    3.433228e-05 0.03826797    | -17658.65    
01/24/2025 19:09:51    79     | -17659.65    0.01283264   0.02646452    | -17659.54    
01/24/2025 19:09:51    80     | -17659.57    0.001235962  0.02592955    | -17659.54    
01/24/2025 19:09:51    81     | -17659.26    0.003433228  0.03146575    | -17659.32    
01/24/2025 19:09:51    82     | -17659.55    3.814697e-06 0.02665378    | -17659.55    
01/24/2025 19:09:51    83     | -17659.1     0.006103516  0.04306921    | -17659.18    
01/24/2025 19:09:51    84     | -17659.7     0.003433228  0.03165484    | -17659.76    
01/24/2025 19:09:51    85     | -17659.78    0.04449463   0.03749816    | -17659.56    
01/24/2025 19:09:51    86     | -17658.83    0.001525879  0.05574263    | -17658.79    
01/24/2025 19:09:51    87     | -17659.48    0.03299332   0.02894955    | -17659.29    
01/24/2025 19:09:51    88     | -17659.27    0.004943848  0.02292418    | -17659.34    
01/24/2025 19:09:51    89     | -17659.21    0.001525879  0.03057909    | -17659.25    
01/24/2025 19:09:51    90     | -17659.54    0.02756119   0.03292946    | -17659.37    
01/24/2025 19:09:51    91     | -17659.63    0            0.02542561    | -17659.63    
01/24/2025 19:09:51    92     | -17659.08    0.0001373291 0.02660249    | -17659.06    
01/24/2025 19:09:51    93     | -17659.3     0.0269165    0.06107546    | -17659.46    
01/24/2025 19:09:51    94     | -17659.07    0.006103516  0.07461651    | -17659.15    
01/24/2025 19:09:51    95     | -17659.56    0.0269165    0.0317081     | -17659.39    
01/24/2025 19:09:51    96     | -17659.82    0.02887344   0.03415849    | -17659.65    
01/24/2025 19:09:51    97     | -17658.64    0.001377106  0.05578376    | -17658.6     
01/24/2025 19:09:51    98     | -17659.23    0.04700089   0.1297054     | -17659.01    
01/24/2025 19:09:51    99     | -17658.98    0.07584      0.1034654     | -17658.7     
01/24/2025 19:09:51    100    | -17659.88    0.00440979   0.0162659     | -17659.82    
01/24/2025 19:09:51    101    | -17659.28    0.001377106  0.05848617    | -17659.32    
01/24/2025 19:09:51    102    | -17659.88    0.03021622   0.04572221    | -17659.7     
01/24/2025 19:09:51    103    | -17659.65    0.007724762  0.03526504    | -17659.56    
01/24/2025 19:09:51    104    | -17659.92    0.0002441406 0.02223288    | -17659.9     
01/24/2025 19:09:51    105    | -17659.73    0.02756119   0.05188983    | -17659.57    
01/24/2025 19:09:51    106    | -17659.58    0.03158951   0.03150814    | -17659.41    
01/24/2025 19:09:51    107    | -17659.5     1.525879e-05 0.04109618    | -17659.5     
01/24/2025 19:09:51    108    | -17659.71    0.009159088  0.04252306    | -17659.62    
01/24/2025 19:09:51    109    | -17659.36    0.02565002   0.03941287    | -17659.2     
01/24/2025 19:09:51    110    | -17659.44    0.01712418   0.03462049    | -17659.31    
01/24/2025 19:09:51    111    | -17659.71    3.433228e-05 0.02083834    | -17659.71    
01/24/2025 19:09:51    112    | -17659.17    0.0009765625 0.0334039     | -17659.14    
01/24/2025 19:09:52    113    | -17659.33    0.009536743  0.03195705    | -17659.43    
01/24/2025 19:09:52    114    | -17659.35    0.01419449   0.04017686    | -17659.23    
01/24/2025 19:09:52    115    | -17659.49    0.002197266  0.02633798    | -17659.44    
01/24/2025 19:09:52    116    | -17659.46    0.001846313  0.03312358    | -17659.42    
01/24/2025 19:09:52    117    | -17659.85    0.05311584   0.05202859    | -17659.62    
01/24/2025 19:09:52    118    | -17660.01    0.0001373291 0.02966457    | -17660       
01/24/2025 19:09:52    119    | -17659.58    0.07159805   0.04865811    | -17659.31    
01/24/2025 19:09:52    120    | -17659.17    0.00320816   0.03412477    | -17659.12    
01/24/2025 19:09:52    121    | -17659.43    0.0001373291 0.02477878    | -17659.42    
01/24/2025 19:09:52    122    | -17659.9     0.001846313  0.02373186    | -17659.86    
01/24/2025 19:09:52    123    | -17660.22    0.009922028  0.01975198    | -17660.12    
01/24/2025 19:09:52    124    | -17659.96    0.003665924  0.01611648    | -17659.89    
01/24/2025 19:09:52    125    | -17658.97    0.001102448  0.04817678    | -17658.94    
01/24/2025 19:09:52    126    | -17659.38    0.009536743  0.02024076    | -17659.28    
01/24/2025 19:09:52    127    | -17659.33    0.00390625   0.03101687    | -17659.26    
01/24/2025 19:09:52    128    | -17659.71    0.03158951   0.03139804    | -17659.53    
01/24/2025 19:09:52    129    | -17659.41    0.01327896   0.03300842    | -17659.29    
01/24/2025 19:09:52    130    | -17660.19    0.009922028  0.01623452    | -17660.09    
01/24/2025 19:09:52    131    | -17659.06    0.0004615784 0.2757502     | -17659.08    
01/24/2025 19:09:52    132    | -17659.53    0.0003089905 0.01974425    | -17659.51    
01/24/2025 19:09:52    133    | -17659.6     0.01071548   0.02591303    | -17659.49    
01/24/2025 19:09:52    134    | -17659.54    0.02441406   0.03519484    | -17659.39    
01/24/2025 19:09:52    135    | -17659.04    0.01661682   0.07284241    | -17658.91    
01/24/2025 19:09:52    136    | -17659.48    0.0006446838 0.03430206    | -17659.46    
01/24/2025 19:09:52    137    | -17659.7     0.02627945   0.05158439    | -17659.54    
01/24/2025 19:09:52    138    | -17659.75    0.00440979   0.04445463    | -17659.68    
01/24/2025 19:09:52    139    | -17659.85    0.02032852   0.02144506    | -17659.71    
01/24/2025 19:09:52    140    | -17659.5     0.01327896   0.03613445    | -17659.38    
01/24/2025 19:09:52    141    | -17659.42    0.01283264   0.04492044    | -17659.3     
01/24/2025 19:09:52    142    | -17659.59    0.007385254  0.030532      | -17659.51    
01/24/2025 19:09:52    143    | -17659.54    0.01071548   0.03203104    | -17659.44    
01/24/2025 19:09:52    144    | -17659.18    0.1420937    0.08405371    | -17658.81    
01/24/2025 19:09:52    145    | -17659.63    0.01327896   0.01868709    | -17659.51    
01/24/2025 19:09:52    146    | -17659.86    0.00440979   0.02482064    | -17659.79    
01/24/2025 19:09:52    147    | -17658.99    0.01327896   0.02275481    | -17658.88    
01/24/2025 19:09:52    148    | -17659.35    0.01977539   0.03771273    | -17659.21    
01/24/2025 19:09:52    149    | -17659.3     0.004943848  0.02703936    | -17659.23    
01/24/2025 19:09:52    150    | -17659.91    0.001682281  0.02059471    | -17659.87    
01/24/2025 19:09:52    151    | -17659.76    0.001102448  0.03528658    | -17659.79    
01/24/2025 19:09:52    152    | -17659.99    0.03089905   0.02209374    | -17659.81    
01/24/2025 19:09:52    153    | -17659.99    0.07800674   0.03853619    | -17659.71    
01/24/2025 19:09:52    154    | -17659.86    0.06446838   0.02582649    | -17659.6     
01/24/2025 19:09:52    155    | -17660.04    0.0282135    0.01916059    | -17659.88    
01/24/2025 19:09:52    156    | -17659.43    0.03891373   0.03352087    | -17659.23    
01/24/2025 19:09:52    157    | -17659.32    0.002017975  0.02613436    | -17659.27    
01/24/2025 19:09:52    158    | -17659.45    0.002990723  0.03757553    | -17659.4     
01/24/2025 19:09:52    159    | -17660.13    0.01071548   0.01827594    | -17660.03    
01/24/2025 19:09:52    160    | -17659.84    0.06348038   0.02374372    | -17659.58    
01/24/2025 19:09:52    161    | -17659.74    0.02756119   0.0146923     | -17659.58    
01/24/2025 19:09:52    162    | -17660.03    0.01922989   0.02042323    | -17659.89    
01/24/2025 19:09:52    163    | -17659.29    0.03089905   0.02816034    | -17659.12    
01/24/2025 19:09:53    164    | -17659.8     0.0009765625 0.02832912    | -17659.77    
01/24/2025 19:09:53    165    | -17659.74    0.01977539   0.01834287    | -17659.6     
01/24/2025 19:09:53    166    | -17660.06    0.01661682   0.01411366    | -17659.93    
01/24/2025 19:09:53    167    | -17659.35    0.00390625   0.03794609    | -17659.28    
01/24/2025 19:09:53    168    | -17659.78    0.01071548   0.01924482    | -17659.68    
01/24/2025 19:09:53    169    | -17659.88    0.01514053   0.03066957    | -17659.76    
01/24/2025 19:09:53    170    | -17659.35    0.02088928   0.02393651    | -17659.2     
01/24/2025 19:09:53    171    | -17659.64    0.01031494   0.02606026    | -17659.54    
01/24/2025 19:09:53    172    | -17659.76    0.001682281  0.02469259    | -17659.72    
01/24/2025 19:09:53    173    | -17659.38    0.01239395   0.02468001    | -17659.26    
01/24/2025 19:09:53    174    | -17659.09    0.001102448  0.02979547    | -17659.06    
01/24/2025 19:09:53    175    | -17659.16    0.006412506  0.05336019    | -17659.24    
01/24/2025 19:09:53    176    | -17659.3     0.01327896   0.04712343    | -17659.19    
01/24/2025 19:09:53    177    | -17659.63    0.008071899  0.02998505    | -17659.54    
01/24/2025 19:09:53    178    | -17659.71    0.007053375  0.02845959    | -17659.63    
01/24/2025 19:09:53    179    | -17659.42    0.0001869202 0.02430189    | -17659.4     
01/24/2025 19:09:53    180    | -17659.94    0.0009765625 0.01682885    | -17659.91    
01/24/2025 19:09:53    181    | -17659.46    0.007724762  0.02650034    | -17659.55    
01/24/2025 19:09:53    182    | -17659.27    0.001525879  0.04834394    | -17659.23    
01/24/2025 19:09:53    183    | -17658.85    0.06747818   0.0907895     | -17658.59    
01/24/2025 19:09:53    184    | -17659.12    0.003665924  0.02607589    | -17659.18    
01/24/2025 19:09:53    185    | -17659.52    0.004673004  0.05166192    | -17659.46    
01/24/2025 19:09:53    186    | -17659.3     0.009922028  0.0329        | -17659.2     
01/24/2025 19:09:53    187    | -17659.27    0.0005493164 0.02134184    | -17659.29    
01/24/2025 19:09:53    188    | -17659.6     0.001846313  0.0324549     | -17659.55    
01/24/2025 19:09:53    189    | -17659.36    0.03021622   0.05978743    | -17659.18    
01/24/2025 19:09:53    190    | -17659.66    9.536743e-05 0.03224909    | -17659.67    
01/24/2025 19:09:53    191    | -17658.73    3.814697e-06 0.06709046    | -17658.73    
01/24/2025 19:09:53    192    | -17659.46    0.002990723  0.03825638    | -17659.41    
01/24/2025 19:09:53    193    | -17659.56    0.002780914  0.03075576    | -17659.51    
01/24/2025 19:09:53    194    | -17659       0.002578735  0.03776419    | -17659.05    
01/24/2025 19:09:53    195    | -17659.89    0.00390625   0.01575175    | -17659.82    
01/24/2025 19:09:53    196    | -17659.63    0.001682281  0.02661122    | -17659.59    
01/24/2025 19:09:53    197    | -17659.11    0.01514053   0.0893812     | -17658.98    
01/24/2025 19:09:53    198    | -17659.92    0.01327896   0.03719241    | -17659.8     
01/24/2025 19:09:53    199    | -17659.15    0.0161171    0.0391643     | -17659.02    
01/24/2025 19:09:53    200    | -17658.93    0.0004615784 0.1214612     | -17658.91    
01/24/2025 19:09:53    201    | -17659.58    0.0146637    0.03433806    | -17659.46    
01/24/2025 19:09:53    202    | -17659.86    0.01153946   0.01775514    | -17659.75    
01/24/2025 19:09:53    203    | -17659.2     0.004673004  0.04620526    | -17659.27    
01/24/2025 19:09:53    204    | -17659.51    0.007053375  0.0355429     | -17659.43    
01/24/2025 19:09:53    205    | -17659.59    0.0005493164 0.02918123    | -17659.61    
01/24/2025 19:09:53    206    | -17659.91    0.003665924  0.0262936     | -17659.85    
01/24/2025 19:09:53    207    | -17659.26    0.008071899  0.0271062     | -17659.17    
01/24/2025 19:09:53    208    | -17659.48    0.002017975  0.02354163    | -17659.43    
01/24/2025 19:09:53    209    | -17659.36    0.005508423  0.02913052    | -17659.29    
01/24/2025 19:09:53    210    | -17660.27    0.0002441406 0.01553612    | -17660.29    
01/24/2025 19:09:53    211    | -17659.93    0.004673004  0.02298157    | -17659.86    
01/24/2025 19:09:53    212    | -17659.3     0.002384186  0.02746843    | -17659.25    
01/24/2025 19:09:53    213    | -17659.61    0.01373291   0.1023424     | -17659.49    
01/24/2025 19:09:54    214    | -17659.31    0            0.01412012    | -17659.31    
01/24/2025 19:09:54    215    | -17659.71    0.0001869202 0.01564674    | -17659.7     
01/24/2025 19:09:54    216    | -17659.21    0.009922028  0.04627594    | -17659.11    
01/24/2025 19:09:54    217    | -17660.07    0.02261734   0.01988918    | -17659.92    
01/24/2025 19:09:54    218    | -17659.73    0.0007476807 0.02239176    | -17659.76    
01/24/2025 19:09:54    219    | -17659.27    0.0161171    0.04402446    | -17659.15    
01/24/2025 19:09:54    220    | -17659.35    0.0684967    0.1684481     | -17659.09    
01/24/2025 19:09:54    221    | -17659.29    0.003433228  0.03330481    | -17659.23    
01/24/2025 19:09:54    222    | -17659.71    0.01239395   0.01795627    | -17659.6     
01/24/2025 19:09:54    223    | -17659.97    0.008789062  0.01000408    | -17659.88    
01/24/2025 19:09:54    224    | -17659.36    0.01031494   0.03497867    | -17659.25    
01/24/2025 19:09:54    225    | -17659.36    0.02261734   0.1504008     | -17659.21    
01/24/2025 19:09:54    226    | -17659.44    0.0001869202 0.03119728    | -17659.43    
01/24/2025 19:09:54    227    | -17659.2     0.0002441406 0.03328653    | -17659.19    
01/24/2025 19:09:54    228    | -17659.5     0.001846313  0.01981099    | -17659.45    
01/24/2025 19:09:54    229    | -17659.63    0.001235962  0.02503781    | -17659.59    
01/24/2025 19:09:54    230    | -17659.41    0.02320862   0.02613197    | -17659.25    
01/24/2025 19:09:54    231    | -17659.48    0.009159088  0.03637233    | -17659.38    
01/24/2025 19:09:54    232    | -17659.47    0.01283264   0.03287841    | -17659.36    
01/24/2025 19:09:54    233    | -17660.02    0.009922028  0.02216623    | -17659.92    
01/24/2025 19:09:54    234    | -17660.06    0.01514053   0.02710471    | -17659.93    
01/24/2025 19:09:54    235    | -17660.05    0.01816177   0.02071264    | -17659.91    
01/24/2025 19:09:54    236    | -17659.47    0.008789062  0.03420385    | -17659.38    
01/24/2025 19:09:54    237    | -17660.06    0.01112366   0.02604168    | -17659.96    
01/24/2025 19:09:54    238    | -17659.88    0.009159088  0.02627373    | -17659.79    
01/24/2025 19:09:54    239    | -17659.62    0.002017975  0.0368492     | -17659.66    
01/24/2025 19:09:54    240    | -17659.86    0.02756119   0.02844665    | -17659.69    
01/24/2025 19:09:54    241    | -17659.55    0.03158951   0.03430856    | -17659.37    
01/24/2025 19:09:54    242    | -17660.07    3.433228e-05 0.01586409    | -17660.07    
01/24/2025 19:09:54    243    | -17659.61    0.001846313  0.02147423    | -17659.57    
01/24/2025 19:09:54    244    | -17659.66    0.04047012   0.04807866    | -17659.46    
01/24/2025 19:09:54    245    | -17659.8     0.007385254  0.0230446     | -17659.71    
01/24/2025 19:09:54    246    | -17659.38    0.02380753   0.03387857    | -17659.23    
01/24/2025 19:09:54    247    | -17659.76    0.009922028  0.0196246     | -17659.66    
01/24/2025 19:09:54    248    | -17659.33    0.0005493164 0.03097403    | -17659.3     
01/24/2025 19:09:54    249    | -17658.47    0.002990723  0.05602479    | -17658.52    
01/24/2025 19:09:54    250    | -17659.23    3.814697e-06 0.03101051    | -17659.23    
01/24/2025 19:09:54    251    | -17660.03    0.006103516  0.01356734    | -17659.96    
01/24/2025 19:09:54    252    | -17660.11    0.02145767   0.02184399    | -17659.96    
01/24/2025 19:09:54    253    | -17659.4     0.0003089905 0.02982458    | -17659.38    
01/24/2025 19:09:54    254    | -17659.6     0.01153946   0.03870066    | -17659.49    
01/24/2025 19:09:54    255    | -17659.75    0.005508423  0.02972966    | -17659.68    
01/24/2025 19:09:54    256    | -17659.67    0.01071548   0.0210481     | -17659.56    
01/24/2025 19:09:54    257    | -17659.09    0.01712418   0.03204604    | -17658.96    
01/24/2025 19:09:54    258    | -17659.72    0.01327896   0.02462793    | -17659.61    
01/24/2025 19:09:54    259    | -17659.51    0.03158951   0.02200976    | -17659.33    
01/24/2025 19:09:54    260    | -17659.85    0.0282135    0.04689905    | -17659.68    
01/24/2025 19:09:54    261    | -17659.71    0.0005493164 0.02046012    | -17659.73    
01/24/2025 19:09:54    262    | -17659.75    0.05401993   0.0402887     | -17659.52    
01/24/2025 19:09:54    263    | -17659.71    0.004673004  0.04292479    | -17659.64    
01/24/2025 19:09:54    264    | -17659.72    0.0007476807 0.0321126     | -17659.69    
01/24/2025 19:09:55    265    | -17659.13    0.01283264   0.04571918    | -17659.02    
01/24/2025 19:09:55    266    | -17659.52    0.01112366   0.02873514    | -17659.41    
01/24/2025 19:09:55    267    | -17659.21    0.002990723  0.04929389    | -17659.27    
01/24/2025 19:09:55    268    | -17659.41    0.01239395   0.03929709    | -17659.29    
01/24/2025 19:09:55    269    | -17659.72    0.007385254  0.02866152    | -17659.64    
01/24/2025 19:09:55    270    | -17659.93    0.003433228  0.01322799    | -17659.87    
01/24/2025 19:09:55    271    | -17659.75    0.00320816   0.02513715    | -17659.69    
01/24/2025 19:09:55    272    | -17659.45    0.01239395   0.03479451    | -17659.34    
01/24/2025 19:09:55    273    | -17659.67    0.01661682   0.03788516    | -17659.54    
01/24/2025 19:09:55    274    | -17659.66    0.001102448  0.01643854    | -17659.63    
01/24/2025 19:09:55    275    | -17659.44    0.002990723  0.0256658     | -17659.38    
01/24/2025 19:09:55    276    | -17659.83    0.01196289   0.02032656    | -17659.72    
01/24/2025 19:09:55    277    | -17660.05    9.536743e-05 0.009225345   | -17660.04    
01/24/2025 19:09:55    278    | -17659.48    0.005508423  0.03647826    | -17659.4     
01/24/2025 19:09:55    279    | -17659.56    0.002780914  0.02748746    | -17659.61    
01/24/2025 19:09:55    280    | -17659.8     0.01869202   0.02232937    | -17659.66    
01/24/2025 19:09:55    281    | -17659.74    0.001102448  0.02152462    | -17659.7     
01/24/2025 19:09:55    282    | -17659.26    0.0009765625 0.01987525    | -17659.29    
01/24/2025 19:09:55    283    | -17659.12    0.001235962  0.03344722    | -17659.09    
01/24/2025 19:09:55    284    | -17659.16    0.005222321  0.03106353    | -17659.09    
01/24/2025 19:09:55    285    | -17659.2     0.0008583069 0.05168049    | -17659.17    
01/24/2025 19:09:55    286    | -17659.26    0.01283264   0.1122878     | -17659.14    
01/24/2025 19:09:55    287    | -17659.19    0.0005493164 0.0516695     | -17659.21    
01/24/2025 19:09:55    288    | -17659.16    0.08929825   0.052127      | -17658.86    
01/24/2025 19:09:55    289    | -17659.7     0.0003089905 0.02678086    | -17659.72    
01/24/2025 19:09:55    290    | -17658.98    0.002578735  0.04152363    | -17658.93    
01/24/2025 19:09:55    291    | -17660.1     0.0146637    0.02261793    | -17659.98    
01/24/2025 19:09:55    292    | -17659.42    0.006729126  0.02843147    | -17659.5     
01/24/2025 19:09:55    293    | -17659.7     0.005802155  0.01694873    | -17659.62    
01/24/2025 19:09:55    294    | -17660.43    0.006729126  0.01375294    | -17660.35    
01/24/2025 19:09:55    295    | -17659.28    0.02756119   0.03573201    | -17659.12    
01/24/2025 19:09:55    296    | -17659.24    0.06152725   0.03736447    | -17658.99    
01/24/2025 19:09:55    297    | -17659.25    0.002578735  0.031776      | -17659.2     
01/24/2025 19:09:55    298    | -17659.21    0.001846313  0.02549344    | -17659.16    
01/24/2025 19:09:55    299    | -17659.81    0.009922028  0.02334837    | -17659.71    
01/24/2025 19:09:55    300    | -17659.68    0.001377106  0.01629412    | -17659.65    
01/24/2025 19:09:55    301    | -17659.45    3.433228e-05 0.02537326    | -17659.45    
01/24/2025 19:09:55    302    | -17659.37    0.001377106  0.02717854    | -17659.34    
01/24/2025 19:09:55    303    | -17659.38    0.008426666  0.03682731    | -17659.47    
01/24/2025 19:09:55    304    | -17659.64    0.00390625   0.02973776    | -17659.57    
01/24/2025 19:09:55    305    | -17659.86    0.002197266  0.01585501    | -17659.82    
01/24/2025 19:09:55    306    | -17659.4     0.001102448  0.03459822    | -17659.36    
01/24/2025 19:09:55    307    | -17658.83    0.001846313  0.05287885    | -17658.79    
01/24/2025 19:09:55    308    | -17659.31    0.005802155  0.06966133    | -17659.24    
01/24/2025 19:09:55    309    | -17659.59    0.01419449   0.01672153    | -17659.47    
01/24/2025 19:09:55    310    | -17658.6     0.00320816   0.06566796    | -17658.54    
01/24/2025 19:09:55    311    | -17659.5     0.005802155  0.02691551    | -17659.42    
01/24/2025 19:09:55    312    | -17659.55    0.01153946   0.02713022    | -17659.66    
01/24/2025 19:09:55    313    | -17659.28    0.009922028  0.02543567    | -17659.18    
01/24/2025 19:09:55    314    | -17659.53    0.01763916   0.01189926    | -17659.4     
01/24/2025 19:09:55    315    | -17659.49    0.007724762  0.0210858     | -17659.41    
01/24/2025 19:09:55    316    | -17659.5     0.008789062  0.03017131    | -17659.41    
01/24/2025 19:09:55    317    | -17659.55    0.02088928   0.03013249    | -17659.41    
01/24/2025 19:09:55    318    | -17659.07    0.04785156   0.03343361    | -17658.85    
01/24/2025 19:09:56    319    | -17659.88    0.02565002   0.01680821    | -17659.72    
01/24/2025 19:09:56    320    | -17659.8     0.01922989   0.01476247    | -17659.66    
01/24/2025 19:09:56    321    | -17659.6     0.03515625   0.05346819    | -17659.41    
01/24/2025 19:09:56    322    | -17659.35    0.006412506  0.02834257    | -17659.27    
01/24/2025 19:09:56    323    | -17660.28    0.002384186  0.01451349    | -17660.23    
01/24/2025 19:09:56    324    | -17659.84    0.01327896   0.02604794    | -17659.72    
01/24/2025 19:09:56    325    | -17659.45    0.01922989   0.0197518     | -17659.31    
01/24/2025 19:09:56    326    | -17659.47    0.0008583069 0.102915      | -17659.44    
01/24/2025 19:09:56    327    | -17659.05    0.02441406   0.0451703     | -17658.89    
01/24/2025 19:09:56    328    | -17659.27    0.00390625   0.03448863    | -17659.21    
